Entity Name,Attribute Name,Attribute Data Type,nullable
,FirstSeenDateTime,timestamp,True
,LastSeenDateTime,timestamp,True
,RefSexId,string,True
,BirthDate,string,True
,BirthCity,string,True
,BirthState,string,True
,BirthCountryCode,string,True
PersonDemographicEthnicity,,,
,Id,string,True
,PersonId_pseudonym,string,True
,RefEthnicityId,string,True
,FirstSeenDateTime,timestamp,True
,LastSeenDateTime,timestamp,True
PersonDemographicPersonFlag,,,
,Id,string,True
,PersonId_pseudonym,string,True
,RefPersonFlagId,string,True
,FirstSeenDateTime,timestamp,True
,LastSeenDateTime,timestamp,True
PersonDemographicRace,,,
,Id,string,True
,PersonId_pseudonym,string,True
,RefRaceId,string,True
,FirstSeenDateTime,timestamp,True
,LastSeenDateTime,timestamp,True
PersonEmailAddress,,,
,Id,string,True
,PersonId_pseudonym,string,True
,EmailAddress,string,True
,PriorityOrder,short,True
,RefEmailAddressTypeId,string,True
,FirstSeenDateTime,timestamp,True
PersonIdentifier,,,
,Id,string,True
,PersonId_pseudonym,string,True
,SourceSystemId,string,True
,RefIdentifierTypeId,string,True
,Identifier,string,True
,FirstSeenDateTime,timestamp,True
,IsPresentInSource,boolean,True
PersonOrganizationRole,,,
,Id,string,True
,SourceSystemId,string,True
,ExternalId,string,True
,FirstSeenDateTime,timestamp,True
,LastSeenDateTime,timestamp,True
,OrganizationId,string,True
,PersonId_pseudonym,string,True
,RefRoleId,string,True
,SessionId,string,True
,IsActiveInSession,boolean,True
,RoleStartDate,string,True
,RoleEndDate,string,True
,IsPrimary,boolean,True
,RefGradeLevelId,string,True
PersonPhoneNumber,,,
,Id,string,True
,PersonId_pseudonym,string,True
,PhoneNumber,string,True
,PriorityOrder,short,True
,RefPhoneNumberTypeId,string,True
,FirstSeenDateTime,timestamp,True
RefDefinition,,,
,Id,string,True
,Namespace,string,True
,RefType,string,True
,Code,string,True
,FirstSeenDateTime,timestamp,True
,LastSeenDateTime,timestamp,True
,SortOrder,short,True
Section,,,
,Id,string,True
,SourceSystemId,string,True
,ExternalId,string,True
,FirstSeenDateTime,timestamp,True
,LastSeenDateTime,timestamp,True
,Name,string,True
,OrganizationId,string,True
,CourseId,string,True
,Code,string,True
SectionGradeLevel,,,
,Id,string,True
,SectionId,string,True
,RefGradeLevelId,string,True
,FirstSeenDateTime,timestamp,True
SectionSession,,,
,Id,string,True
,SectionId,string,True
,SessionId,string,True
,FirstSeenDateTime,timestamp,True
,LastSeenDateTime,timestamp,True
,IsActiveInSession,boolean,True
SectionSubject,,,
,Id,string,True
,SectionId,string,True
,RefAcademicSubjectId,string,True
,FirstSeenDateTime,timestamp,True
Session,,,
,Id,string,True
,SourceSystemId,string,True
,ExternalId,string,True
,FirstSeenDateTime,timestamp,True
,LastSeenDateTime,timestamp,True
,Name,string,True
,RefSessionTypeId,string,True
,RefAcademicYearId,string,True
,StartDate,date,True
,EndDate,date,True
,ParentSessionId,string,True
SourceSystem,,,
,Id,string,True
,Name,string,True
,FirstSeenDateTime,timestamp,True
,LastSeenDateTime,timestamp,True
activity,,,
,SignalType,string,True
,StartTime,timestamp,True
,UserAgent,string,True
,SignalId,string,True
,SisClassId,string,True
,ClassId,string,True
,ChannelId,string,True
,AppName,string,True
,ActorId_pseudonym,string,True
,ActorRole,string,True
,SchemaVersion,string,True
,AssignmentId,string,True
,SubmissionId,string,True
,SubmissionCreatedTime,timestamp,True
,Action,string,True
,DueDate,timestamp,True
,ClassCreationDate,timestamp,True
,Grade,double,True
,SourceFileExtension,string,True
,MeetingDuration,string,True
,MeetingSessionId,string,True
,MeetingType,string,True
,ReadingSubmissionWordsPerMinute,integer,True
,ReadingSubmissionAccuracyScore,string,True
,ReadingSubmissionMispronunciationCount,integer,True
,ReadingSubmissionRepetitionsCount,integer,True
,ReadingSubmissionInsertionsCount,integer,True
,ReadingSubmissionObmissionCount,integer,True
,ReadingSubmissionAttemptNumber,integer,True
,ReadingAssignmentWordCount,integer,True
,ReadingAssignmentFleschKincaidGradeLevel,string,True
,ReadingAssignmentLanguage,string,True
,rundate,timestamp,True
AadGroup_lookup,,,
,ObjectId,string,True
,DisplayName,string,True
,Mail,string,True
,MailNickname,string,True
,AnchorId,string,True
,ObjectId_pseudonym,string,True
,AnchorId_pseudonym,string,True
AadUser_lookup,,,
,ObjectId,string,True
,UserPrincipalName,string,True
,Mail,string,True
,MailNickname,string,True
,GivenName,string,True
,Surname,string,True
,DisplayName,string,True
,AnchorId,string,True
,ObjectId_pseudonym,string,True
,UserPrincipalName_pseudonym,string,True
,AnchorId_pseudonym,string,True
PersonDemographic_lookup,,,
,PersonId,string,True
,RefSexId,string,True
,BirthDate,string,True
,BirthCity,string,True
,BirthState,string,True
,BirthCountryCode,string,True
,PersonId_pseudonym,string,True
Person_lookup,,,
,Id,string,True
,Surname,string,True
,GivenName,string,True
,MiddleName,string,True
,PreferredSurname,string,True
,PreferredGivenName,string,True
,PreferredMiddleName,string,True
,Id_pseudonym,string,True
